GBD_name,acronym,air_pollution,physical_activity,ap_acronym,pa_acronym,outcome
All causes,all_cause,1,1,all_cause_ap,all-cause-mortality,fatal
Ischemic heart disease,IHD,1,1,cvd_ihd,coronary-heart-disease,fatal
Neoplasms,total_cancer,0,1,,all-cause-cancer,fatal
"Tracheal, bronchus, and lung cancer",lung_cancer,1,1,neo_lung,lung-cancer,fatal
Chronic obstructive pulmonary disease,COPD,1,0,resp_copd,,
Stroke,stroke,1,1,cvd_stroke,stroke,fatal
Diabetes mellitus type 2,T2D,1,1,t2_dm,diabetes,non-fatal
Lower respiratory infections,LRI,1,0,lri, ,
Breast cancer,breast_cancer,0,1,,breast-cancer,fatal
Colon cancer,colon_cancer,0,1,,colon-cancer,fatal-and-non-fatal
Uterine cancer,endo_cancer,0,1,,endometrial-cancer,fatal-and-non-fatal
Liver cancer,liver_cancer,0,1,,liver-cancer,fatal-and-non-fatal
Cardiovascular diseases,CVD,1,1,cvd,all-cause-cvd,fatal
Alzheimer's disease and other dementias,total_dementia,0,1,,all-cause-dementia,fatal-and-non-fatal
Multiple myeloma,myeloma,0,1,,myeloma,fatal-and-non-fatal
Parkinson's disease,Parkinson,0,1,,parkinson's-disease,fatal-and-non-fatal
Head and neck cancer,head_neck_cancer,0,1,,head-and-neck-cancer,fatal-and-non-fatal
Stomach cancer,stomach_cancer,0,1,,gastric-cardia-cancer,fatal-and-non-fatal
Myeloid leukemia,myeloid_leukemia,0,1,,myeloid-leukemia,fatal-and-non-fatal
Respiratory,respiratory,1,0,respiratory,,